,Lat,Long,Incidents
0,43.587996389338244,-79.54737856485148,2
1,43.587996389338244,-79.5449046391089,2
2,43.587996389338244,-79.53748286188119,2
3,43.587996389338244,-79.53500893613861,2
4,43.587996389338244,-79.53253501039603,2
5,43.58980236801471,-79.54737856485148,2
6,43.58980236801471,-79.53748286188119,2
7,43.58980236801471,-79.53500893613861,2
8,43.58980236801471,-79.53006108465347,1
9,43.58980236801471,-79.52263930742573,1
10,43.59160834669117,-79.5449046391089,1
11,43.59160834669117,-79.53500893613861,1
12,43.59160834669117,-79.53253501039603,2
13,43.59160834669117,-79.53006108465347,1
14,43.59160834669117,-79.52758715891089,1
15,43.59160834669117,-79.52511323316831,1
16,43.59160834669117,-79.52263930742573,1
17,43.593414325367654,-79.54243071336633,1
18,43.593414325367654,-79.53500893613861,1
19,43.593414325367654,-79.53253501039603,1
20,43.593414325367654,-79.5176914559406,1
21,43.59522030404411,-79.53006108465347,1
22,43.59522030404411,-79.52511323316831,1
23,43.59522030404411,-79.52263930742573,1
24,43.59702628272059,-79.53253501039603,1
25,43.59702628272059,-79.52263930742573,1
26,43.59702628272059,-79.52016538168317,1
27,43.59702628272059,-79.5176914559406,1
28,43.59702628272059,-79.51026967871287,1
29,43.59702628272059,-79.5077957529703,1
30,43.59702628272059,-79.50532182722772,1
31,43.598832261397064,-79.51521753019802,1
32,43.598832261397064,-79.51274360445544,1
33,43.598832261397064,-79.5077957529703,1
34,43.60063824007353,-79.54737856485148,1
35,43.60063824007353,-79.5449046391089,1
36,43.60063824007353,-79.52511323316831,1
37,43.60063824007353,-79.52016538168317,1
38,43.60063824007353,-79.5176914559406,1
39,43.60063824007353,-79.51026967871287,1
40,43.60063824007353,-79.50532182722772,1
41,43.60063824007353,-79.50284790148514,1
42,43.60063824007353,-79.49790005,1
43,43.60244421875,-79.53748286188119,1
44,43.60244421875,-79.5077957529703,1
45,43.60244421875,-79.50532182722772,1
46,43.60244421875,-79.50037397574258,1
47,43.60244421875,-79.49542612425742,1
48,43.60425019742648,-79.5548003420792,1
49,43.60425019742648,-79.5449046391089,1
50,43.60605617610293,-79.54737856485148,1
51,43.60605617610293,-79.53253501039603,1
52,43.60605617610293,-79.52263930742573,1
53,43.607862154779404,-79.56222211930692,1
54,43.607862154779404,-79.53748286188119,1
55,43.607862154779404,-79.49790005,1
56,43.607862154779404,-79.49295219851486,1
57,43.609668133455884,-79.55232641633663,1
58,43.609668133455884,-79.54985249059406,1
59,43.609668133455884,-79.52758715891089,1
60,43.609668133455884,-79.49790005,1
61,43.609668133455884,-79.49047827277228,1
62,43.611474112132356,-79.49790005,1
63,43.611474112132356,-79.49542612425742,1
64,43.61328009080882,-79.55727426782178,1
65,43.61328009080882,-79.51026967871287,1
66,43.61328009080882,-79.50532182722772,1
67,43.61328009080882,-79.49790005,1
68,43.615086069485294,-79.55727426782178,1
69,43.615086069485294,-79.54737856485148,1
70,43.615086069485294,-79.52511323316831,1
71,43.615086069485294,-79.50037397574258,1
72,43.615086069485294,-79.49542612425742,1
73,43.615086069485294,-79.49295219851486,1
74,43.615086069485294,-79.49047827277228,1
75,43.61689204816177,-79.50532182722772,1
76,43.61689204816177,-79.50284790148514,1
77,43.61689204816177,-79.50037397574258,1
78,43.61689204816177,-79.49542612425742,1
79,43.61689204816177,-79.49295219851486,1
80,43.61689204816177,-79.4880043470297,1
81,43.61689204816177,-79.38657339158416,1
82,43.618698026838246,-79.53500893613861,1
83,43.618698026838246,-79.53006108465347,1
84,43.618698026838246,-79.50037397574258,1
85,43.618698026838246,-79.49790005,1
86,43.618698026838246,-79.49295219851486,1
87,43.618698026838246,-79.49047827277228,1
88,43.618698026838246,-79.4880043470297,1
89,43.62050400551471,-79.54737856485148,1
90,43.62050400551471,-79.52758715891089,1
91,43.62050400551471,-79.52263930742573,1
92,43.62050400551471,-79.50284790148514,1
93,43.62050400551471,-79.49295219851486,1
94,43.62050400551471,-79.49047827277228,1
95,43.62050400551471,-79.48553042128712,3
96,43.62050400551471,-79.48305649554457,3
97,43.62230998419117,-79.52758715891089,1
98,43.62230998419117,-79.51274360445544,1
99,43.62230998419117,-79.49295219851486,1
100,43.62230998419117,-79.48305649554457,3
101,43.62230998419117,-79.37172983712871,1
102,43.62411596286765,-79.5176914559406,1
103,43.62411596286765,-79.50532182722772,1
104,43.62411596286765,-79.49790005,1
105,43.62411596286765,-79.49542612425742,1
106,43.62411596286765,-79.49047827277228,1
107,43.62411596286765,-79.4880043470297,1
108,43.62411596286765,-79.48058256980198,3
109,43.62411596286765,-79.4781086440594,1
110,43.625921941544114,-79.5745917480198,1
111,43.625921941544114,-79.55974819356436,1
112,43.625921941544114,-79.50532182722772,1
113,43.625921941544114,-79.48058256980198,1
114,43.625921941544114,-79.4781086440594,1
115,43.627727920220586,-79.58201352524752,1
116,43.627727920220586,-79.57953959950495,1
117,43.627727920220586,-79.57211782227722,1
118,43.627727920220586,-79.5176914559406,1
119,43.627727920220586,-79.49790005,1
120,43.627727920220586,-79.49542612425742,1
121,43.627727920220586,-79.4781086440594,1
122,43.627727920220586,-79.41626050049504,1
123,43.627727920220586,-79.39152124306929,2
124,43.629533898897066,-79.57706567376238,1
125,43.629533898897066,-79.5646960450495,1
126,43.629533898897066,-79.48305649554457,1
127,43.629533898897066,-79.47563471831683,3
128,43.629533898897066,-79.41626050049504,1
129,43.629533898897066,-79.35936020841584,1
130,43.63133987757353,-79.58201352524752,1
131,43.63133987757353,-79.57211782227722,1
132,43.63133987757353,-79.5646960450495,1
133,43.63133987757353,-79.5548003420792,1
134,43.63133987757353,-79.54985249059406,1
135,43.63133987757353,-79.51521753019802,1
136,43.63133987757353,-79.48553042128712,1
137,43.63133987757353,-79.42368227772278,1
138,43.63133987757353,-79.35936020841584,1
139,43.63314585625,-79.5844874509901,1
140,43.63314585625,-79.58201352524752,1
141,43.63314585625,-79.57211782227722,1
142,43.63314585625,-79.56716997079208,1
143,43.63314585625,-79.5176914559406,1
